architecture,accuracy,dataset_size,datetime,total_completion_tokens,total_prompt_tokens,execution_time,average_runtime
one_1_cot_True_False,0.7221542227662179,817,2024-11-22 13:31:53,315115,144715,484.2776770591736,7.036072261768281
gc_2_sba_True_False,0.7564259485924113,817,2024-11-22 13:31:53,1532149,4272476,2319.0886237621307,33.73068418234331
cs_4_sba_True_False,0.7552019583843329,817,2024-11-22 13:31:53,1179723,1914684,702.0330929756165,10.242162707969637
bb_4_sba_True_False,0.769889840881273,817,2024-11-22 13:31:53,2668428,8599845,1332.496521949768,19.344628967590985
rfl_4_sba_True_False,0.7527539779681762,817,2024-11-22 13:31:53,2983651,8322319,5058.755899190903,37.006293333291715
gc_2_cot_True_False,0.7270501835985312,817,2024-11-22 16:56:09,1717503,4718133,2142.5521709918976,31.04482310346466
gc_2_mix_True_False,0.7270501835985312,817,2024-11-22 16:56:09,1707831,4711258,2147.39838886261,31.30500793865582
gc_2_cot_True_True,0.5826193390452876,817,2024-11-22 16:56:09,1673328,4468275,2127.5038771629333,31.114191450424848
gc_2_sba_True_True,0.5924112607099143,817,2024-11-22 16:56:09,1594121,4341385,2103.64240694046,30.709939062814232
gc_2_mix_True_True,0.5777233782129743,817,2024-11-22 16:56:09,1595988,4344217,2043.3687388896942,29.824702937570898
cs_2_cot_True_False,0.7270501835985312,817,2024-11-22 16:56:09,722004,1127933,566.4356160163879,8.248661365182192
cs_2_sba_True_False,0.7405140758873929,817,2024-11-22 16:56:09,622134,1041222,524.9909193515778,7.633000253317843
cs_2_mix_True_False,0.7343941248470012,817,2024-11-22 16:56:09,671071,1083273,566.378485918045,8.195591408590646
cs_2_cot_True_True,0.6682986536107711,817,2024-11-22 16:56:09,715484,1068718,617.7956178188324,8.953255033551406
cs_2_sba_True_True,0.6634026927784578,817,2024-11-22 16:56:09,662328,1020716,588.183913230896,8.51518144689254
cs_2_mix_True_True,0.6682986536107711,817,2024-11-22 16:56:09,665086,1023674,579.8128018379211,8.453195456046078
bb_2_cot_True_False,0.7282741738066095,817,2024-11-22 16:56:09,1552724,3620971,1144.9979388713837,16.63721960440114
bb_2_sba_True_False,0.7515299877600979,817,2024-11-22 16:56:09,1349419,3234529,1060.044754743576,15.005472557926995
bb_2_mix_True_False,0.7392900856793145,817,2024-11-22 16:56:09,1465551,3437279,1148.3928480148315,15.700639064046424
bb_2_cot_True_True,0.6499388004895961,817,2024-11-22 16:56:09,1522725,3452619,1173.007994890213,16.378890969907932
bb_2_sba_True_True,0.6401468788249693,817,2024-11-22 16:56:09,1415767,3252704,1297.9322650432587,16.06519525754408
bb_2_mix_True_True,0.6609547123623011,817,2024-11-22 16:56:09,1416548,3255741,1062.6613628864288,15.535443290502672
cs_4_cot_True_False,0.7429620563035496,817,2024-11-22 23:17:33,1378678,2089250,852.8911650180817,11.460958625286853
cs_4_mix_True_False,0.7503059975520195,817,2024-11-22 23:17:33,1275220,1997577,789.058099269867,10.445533814599493
cs_4_cot_True_True,0.7221542227662179,817,2024-11-22 23:17:33,1348329,2026856,779.0534551143646,10.96795120320968
cs_4_sba_True_True,0.7613219094247246,817,2024-11-22 23:17:33,1196360,1894521,716.5209097862244,9.932252354546014
cs_4_mix_True_True,0.7490820073439413,817,2024-11-22 23:17:33,1245161,1936518,748.3586621284485,10.493387666443132
bb_4_cot_True_False,0.7380660954712362,817,2024-11-23 02:15:31,3077696,9748628,1240.3897190093994,18.072139798354634
bb_4_mix_True_False,0.7527539779681762,817,2024-11-23 02:15:31,2913956,9194946,1190.715703010559,17.34028575995269
bb_4_cot_True_True,0.7319461444308446,817,2024-11-23 02:15:31,3037891,9534598,1278.3075261116028,18.58226847094159
bb_4_sba_True_True,0.7600979192166463,817,2024-11-23 02:15:31,2702450,8640367,1111.575548171997,16.15866763121933
bb_4_mix_True_True,0.7600979192166463,817,2024-11-23 02:15:31,2826318,8936228,1157.311369895935,16.826246448654587
rfl_4_cot_True_False,0.7282741738066095,817,2024-11-23 02:15:31,3332030,9152692,4464.730294942856,32.65329067505704
rfl_4_mix_True_False,0.7270501835985312,817,2024-11-23 02:15:31,3321013,9148999,4285.991284132004,31.390837680461797
rfl_4_cot_True_True,0.7025703794369645,817,2024-11-23 02:15:31,3265919,8888409,4404.341103076935,32.22824607660021
rfl_4_sba_True_True,0.7368421052631579,817,2024-11-23 02:15:31,3025201,8385936,4445.836230754852,32.56614601305678
rfl_4_mix_True_True,0.7086903304773562,817,2024-11-23 02:15:31,3190923,8787683,4812.216094970703,34.884784537692404
gc_4_cot_True_False,0.7294981640146879,817,2024-11-23 12:57:18,3821398,17296678,4303.66504406929,62.548155915343195
gc_4_sba_True_False,0.7539779681762546,817,2024-11-23 20:36:08,3586233,16239541,3606.46018910408,52.49367187160319
gc_4_mix_True_False,0.7429620563035496,817,2024-11-23 20:36:08,3926494,17667157,4055.7129607200623,58.83241514856112
gc_4_cot_True_True,0.6756425948592412,817,2024-11-24 00:44:45,3920983,17402217,3827.2930870056152,55.63706276524753
gc_4_sba_True_True,0.7062423500611995,817,2024-11-24 00:44:45,3556811,16143266,3474.415071964264,50.62881175803438
gc_4_mix_True_True,0.7086903304773562,817,2024-11-24 00:44:45,3725538,16695237,3808.9115839004517,55.23874103249651
cs_6_cot_True_False,0.7417380660954712,817,2024-11-24 12:10:51,2154570,3164800,965.9934573173523,10.957796161586243
cs_6_sba_True_False,0.762545899632803,817,2024-11-24 12:10:51,1895849,2943558,755.5040638446808,10.150817682576735
cs_6_mix_True_False,0.7539779681762546,817,2024-11-24 12:10:51,2032734,3060336,807.1175227165222,11.58534676033543
cs_6_cot_True_True,0.7405140758873929,817,2024-11-24 12:10:51,2124710,3100538,896.849356174469,13.054307681110528
cs_6_sba_True_True,0.7539779681762546,817,2024-11-24 12:10:51,1913578,2921221,784.6163132190704,11.417751014597412
cs_6_mix_True_True,0.7503059975520195,817,2024-11-24 12:10:51,2000822,2995005,804.6410729885101,11.681890946706915
bb_6_cot_True_False,0.7466340269277846,817,2024-11-24 15:52:18,5050915,19678499,1435.1495311260223,20.66445272993137
bb_6_sba_True_False,0.7674418604651163,817,2024-11-24 15:52:18,4468387,17652002,1316.3716957569122,19.162330164903526
bb_6_mix_True_False,0.7637698898408812,817,2024-11-24 15:52:18,4805759,18720255,1458.0571839809418,20.894718190593554
bb_6_cot_True_True,0.7490820073439413,817,2024-11-24 15:52:18,4991418,19323063,1463.9037871360779,21.27316831608589
bb_6_sba_True_True,0.7649938800489596,817,2024-11-24 15:52:18,4503546,17641857,1317.9006309509277,18.82137503618126
bb_6_mix_True_True,0.7564259485924113,817,2024-11-24 15:52:18,4726345,18369008,1393.8503060340881,20.268468353710386
rfl_6_cot_True_False,0.7539779681762546,817,2024-11-24 18:30:30,5242657,14297897,8066.378612995148,39.32262246057191
rfl_6_sba_True_False,0.762545899632803,817,2024-11-24 18:30:30,4727810,13108466,7076.673018217087,34.57701385327623
rfl_6_mix_True_False,0.7490820073439413,817,2024-11-24 18:30:30,5172647,14201669,8476.49819636345,41.302703234673714
rfl_6_cot_True_True,0.7319461444308446,817,2024-11-24 18:30:30,5204137,14088032,8972.303900957108,43.86054284219497
rfl_6_sba_True_True,0.7417380660954712,817,2024-11-24 18:30:30,4746663,13078518,7916.4350390434265,38.6965300867578
rfl_6_mix_True_True,0.7429620563035496,817,2024-11-24 18:30:30,5057848,13831413,9085.805640935898,44.22940975624607
gc_6_cot_True_False,0.7539779681762546,817,2024-11-25 20:17:13,6585936,41160267,8579.952821016312,124.61043841281456
gc_6_sba_True_False,0.7552019583843329,817,2024-11-25 20:17:13,5943276,37506697,7290.505894899368,105.91724236767324
gc_6_mix_True_False,0.7429620563035496,817,2024-11-25 20:17:13,6492241,40672750,8955.05217719078,129.67771119411893
gc_6_cot_True_True,0.6756425948592412,817,2024-11-25 20:17:13,6530721,40523532,9358.00956106186,135.6256589726106
gc_6_sba_True_True,0.7050183598531212,817,2024-11-25 20:17:13,5882820,37097310,8972.646486997604,130.47166263196286
gc_6_mix_True_True,0.6976744186046512,817,2024-11-25 20:17:13,6211103,38703145,9210.177732944489,134.52011214417374
